Nom et nature,Conditionnement,PPV
"Glivec 400 mg, Comprimé",Boîte de 30comprimés pelliculés,23131
"SAPHIR 500 MG / 62.5 MG, Sachet",Boite de 12 sachets,59
"CODENFAN 1 MG / ML, Sirop",Flacon de 200 ml,29.6
"OLMETEC 20 MG, Comprimé pelliculé",Boîte de 30,252
"NEOMOX 1G, Comprimé dispersible",Boîte de 14,67.3
"TIAPEX LP 400 MG, Comprimé pelliculé à libération prolongée",Boite de 30,289
"CORVASAL 2 MG, Comprimé sécable",Boîte de 30,46.7
"HEMO-PUR A6, Solution concentrée acide pour hémodialyse avec bicarbonate",Bidon de 10.000 ML,111.5
"PERFALGAN NOURRISSON ET ENFANT 10 MG / ML, Solution pour perfusion",Boîte de 12 Flacons de 50 ml,278
"NURSIE CONFORT 1ER AGE, Lait",Boite de 400G,68
"MICRODIOL 0.15 / 0.03 MG, Comprimé",Boîte de 21,28.4
"BETAFERON 250 µG / ML, Injectable",Poudre pour solution injectable,8480
"METHOTREXATE MYLAN 500 MG, Solution injectable",Boite de 10 flacons de 10 ml ( S/C ),1340
"DICLOBERL 75 MG, Solution injectable",Boîte de 1 Ampoule,9.7
"RANPIROLE 0,5 MG, Comprimé",Boite de 84 comprimés pélliculés,134.8
"TIAGAM 200 MG, Comprimé sécable",Boîte de 20,36
"VIAGRA 50 MG, Comprimé",Boîte de 1,50
"KETOFLEX 2,5% , Gel",Tube de 20 g,17.35
"STATOR 20 MG, Comprimé",Boîte de 30,90
PELOXIL 2 % Lotion,Flacon de 60 ml,282.3
"RISPERIDONE GT 3 MG, Comprimé",Boite de 10,97.4
"PROVIVE 1%, Émulsion injectable ( IV)",1 boite contenant un seul flacon de 50 ML,223
"TRONID 250 MG , Comprimé",Boîte de 20,18
"HYPNOMIDATE 2 mg/ml, Solution injectable",Boîte de 5 Ampoules de 10 ml,249
"OLMADIP 10 MG, Comprimé",Boite de 14,31.2
"BELMAZOL 20 MG, Gélule",Boîte de 28,96
"PROFENID 100 mg, Lyophilisat injectable",Boîte de 50 Flacons,370
"INNOHEP 10 000 UI ANTI-XA / 0,5 ML Solution injectable",Boîte de 2 Seringues préremplies,267
"PRE-NURSIE, Lait",Boite de 400G,69
"IPP 20 MG, Gélule",Boîte de 14,52.8
"INLYTA 5 MG, Comprimé pelliculé",Boite de 28,21341
"CALSOF, Caplet",Boite de 20,80
"COPEGUS 200 MG, Comprimé pelliculé",Boîte de 42,1688
"GENPRESS 2,5 MG, Comprimé",Boîte de 30,50
"NIFOX 100 mg, Gélule",Boîte de 16,11.5
"DOLICOX 60 MG, Comprimé pelliculé",Boite de 7,82.4
"BIOMOX 1 G, Comprimé dispersible",Boîte de 24,96.8
"TRAMIUM 100 MG , Gélule LP",10 gélules,26.1
"MYCOSTATINE 100 000 UI / ML, Suspension Buvable",Boîte de 1 Flacon de 24 ml,22.9
"EXIDEP 10 MG, Comprimé enrobé",Boite de 10,51.3
"TORVA 20 MG, Comprimé enrobé",Boite de 30 cps,106.7
"CETAVLON 0,5%, Crème",T/80g,13.8
"RANCIPHEX 10 MG, Comprimé",Boite 28 comprimés gastrorésistants,82.8
"APROVASC 150 MG / 5MG, Comprimé pelliculé",Boite de 28,155.8
"ALTEC 5 MG, Gélule",Boite de 30,46.4
"ACNO 30 MG, Capsule molle",Boite de 30,373
"ABSTRAL 200 µG, Comprimé sublingual",Boite de 10,937
"VISCERALGINE 5 MG / 2 ML, Solution Injectable",Boîte de 10,17
"LOPERIUM 2 MG, Gélule",Boîte de 20,23.4
"APROVEL 300 MG, Comprimé",Boîte de 14,119.9
"SEPTIVON 0,005 , Solution pour application locale",Boîte de 1 Flacon de 250 ml,28.7
"SULAFTE DE MAGNÉSIUM PROAMP 0,15g/ml soluté injectable",Boîte de 50 ampoules de 10ml,
"EFFIPRED 1 MG / 1 ML, Solution buvable",Flacon 50 ml,21.6
"HEBERPROT-P 75 µg, Lyophilisat pour préparation injectable",Boite d'une ampoule de 5 ML,8966
"EFFERALGAN 500 MG, Comprimé effervescent",Boîte de 16,15.9
"GENTAGAM 80 MG, Solution Injectable",Boîte de 1,11.9
"CELLCEPT 500 MG, Comprimé",Boîte de 50,915
"DERMOFIX 2%, Poudre dermique",Flacon de 30 g,84.2
"NEPZAN 5 MG, Comprimé pelliculé",Boite de 28,144
"GLOMERID LP 1.5 MG, Comprimé",Boite de 30,29.3
"MEDZAR 100MG, Comprimé",Boite de 30,128
"CEPAVIR 600 MG, Comprimé pelliculé",Boite de 168,3499
"FLIXOTIDE AÉROSOL 125 µg, Suspension pour inhalation en Flacon pressurisé",Flacon de 60 doses,125
"CEFTRIAXONE MYLAN 250 MG, Poudre Solution injectable",Boîte de 1 flacon,48.1
DIALYSE PERITONEALE BIEFFE FORMULE 91,1 poche de 2 litre,82.6
"GENTAMYCINE LLORENTE 160 MG, Solution injectable",Boîte unitaire de 4 ml,26.2
"CARDIOASPIRINE 100 MG, Comprimé",Boîte de 30,27.7
"XARELTO 10 MG, Comprimé pelliculé",Boite de 5,199.9
"TRIFAX 500 MG IM, Poudre pour usage parentéral + solvant",Poudre pour usage parentéral IM+ampoule de 2 ml sol Lidocaine Chlorhydrate à 1%,57
"ARIMIDEX 1 MG, Comprimé pelliculé",Boîte de 28,790
"GEMCITABINE HOSPIRA 200 MG, Poudre pour solution pour perfusion",Flacon de 10 ML,257
"LODOZ 10 MG / 6,25 MG, Comprimé pelliculé",Boîte de 30,76
"NEUTRAL, Comprimé à croquer,",Boîte de 20,13.1
"VALPRO COOPER LP 500 MG, Comprimé sécable",Boite de 60,139.6
"APTAMIL AR 1ER AGE, Lait",Boite de 400G,80
VIESSIA 10mg/ml soluté injectable,Boîte 1 flacon,
"ENTEROGERMINA 2 milliards du 5ml , Suspension oral",Boîte de 10 Flacons de 5 ml,60
"RIP-K3 150 mg/75 mg/400 mg , Comprimé",Boîte de 30,95
"CARTEOL LP 1% , Collyre",Flacon de 3 ml,72.8
"NOVONORM 2 MG, Comprimé",Boîte de 30,57.6
"VALEX 500 MG, Comprime enrobé",Boite de 42,434.5
INTRONA 18.10(6) UI Solution injectable,1 Stylo multidose,
"DYNASTAT 40 MG, Injectable",Boîte de 1 Flacon de poudre 5 ml + 1 ampoule de solvant 2 ml,90
"ERY 125 MG, Sachet",Boîte de 24,40
"CORNEREGEL, Gel ophtalmique",Tube de 10 GR,76.1
"TIMOPTOL 0,50 % , Collyre",Flacon de 3 ml,54.8
"BLAISHAL 2 mg , Gélule",Boîte de 20,21.5
"GYNO-PEVARYL LP 150 mg , Ovule à libération prolongée",Boîte de 1,57.9
"EVITOP 30 MG, Comprimé pelliculé",Boite de 2,78.1
"SIMVACOL 40 MG, Comprimé pelliculé",Boite de 28,73.4
"WELLBUTRIN XR 150 MG, Comprimé à libération modifiée",Boîte de 30,291
"TRESORIX, Sirop",Flacon de 150ml,32.4
"DESFERAL 500 mg/5ml, Poudre en Flacon pour injectaion",Boîte de 10 flacons,633
"CLOFENE 50 MG, Suppositoire",Boîte de 10,25.5
"JOSACINE 250 MG / 5 ML, Poudre pour suspension buvable",Flacon de 60ml,78.6
"FOSAVANCE 70 mg/5600 UI, Comprimé",Boîte de 4,193.6
"SANDOCAL 500 mg Poudre pour solution buvable, Sachet",Boîte de 30,78
"DOPEZIL RANBAXY 10, Comprimé",Boite de 28,506
"AMPICILLINE LLORENTE 250 MG, Poudre pour suspention buvable",Flacon de 60 ml,24.5
"TRITAZIDE 10 MG / 25 MG, Comprimé sécable",Boîte de 28,63.3
"GLUCOSE 5% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Flip Off en PVC plastifié, 500 ml",23
"MAGMINE, Comprimé",Boite de 30 comprimés sans sucre et sans sel,99
"COLENOR 20 MG, Comprimé sécable",Boite de 30,99
"HYE, Solution ophtalmique",Flacon de 10 ML,86
"ENTERAL 200 mg Gélule,",Boîte de 12,15.8
"QUETIAPINE NORMON 300 MG, Comprimé pelliculé",Boite de 250,1230
"CONTALAX 5 mg , Comprimé gastrorésistant",Boîte de 30,12.3
HEXAPNEUMINE Sirop ADULTE,Flacon de 200 ml,27.05
ULCEMID 400 mg Comprimé,Boîte de 20,32
"PERJETA 420 MG, Solution pour perfusion",Boite de 1 flacon de 20 ml,25900
"RECORMON 5000 UI/0,3 ml, Solution injectable",Boîte de 6 seringues pré-remplies,2709
"LOSARTAN/HYDROCHLOROTHIAZIDE GT 50 mg/12,5 mg, Comprimé pelliculé",20 comprimés pelliculés,89
"DOLOSTOP 200 MG, Sachet",Boite de 12,11.2
"GLUCOPHAGE 850 MG, Comprimé pelliculé",Boîte de 60,45.2
"ASPEGIC AD 1000 MG, Poudre en Sachet",Boîte de 20,61.1
"CLAMOXYL 125 MG, Poudre pour sirop",Flacon de 60 ml,25.4
"VITATLON PLUS Comprimé effervescent,",Boîte de 10,28
"STERIDIOL 0.15 MG / 003 MG, Comprimé",Boite de 21,24.1
"ANXIOL 6 MG, Comprimé sécable",Boîte de 30,36.7
"FLUCONAZOLE GT 200 MG, Gélules",Boite de 14,256
"DI-INDO 25 MG, Gélule",Boîte de 30,67.6
"MYCOPHENOLATE MOFETIL NORMON 250 MG, Comprimé pelliculé",Boite de 100,683
"INNOHEP 14 000 UI ANTI-XA / 0,7 ML, Solution injectable",Boîte de 2 Seringues préremplies,328
"GLYNORM 0.5 MG, Comprimé",Boite de 90,141.5
"GENSTAT 20Mg, Comprimé enrobé",Boite de 28,119
"AMCARD 10 MG, Comprimé",Boîte de 7,22.1
ROCGEL Suspension buvable,Flacon de 250 ml,30.9
"VASTAREL 20 MG / ML, Suspension buvable",Flacon 60 ml,103.2
"CO-IRVEL 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,85
"NAVELBINE 10 MG / ML, Solution injectable",Boîte de 10 Flacons,1666
"TIM-87 0,50 % , Collyre","15 récipients 0,2 ml",46.4
"MAZAX 200 MG / 5 ML, Poudre pour suspension buvable",Flacon de 30 ml,61
"BEPANTHENE 5%, Crème",Tube 100g,99
"STAGID 700 MG , Comprimé sécable",Boîte de 30,36.2
"VISMED, Récipient",Boite de 20,152
"ASPIRINE VITAMINEE B1C DEROL , Comprimé",Boîte de 20,11.3
"HEPARINE SODIQUE LEURQUIN 25000UI/5ml IV, Solution Injectable",Boîte de 10,239
"TRETACNE 10 MG, Capsule molle",Boîte de 30,150
"MYRIN 50MG, Comprimé",Boite de 30 comprimés,1346
"EFFEXOR 50 MG, Comprimé",Boîte de 30,106.7
"AERRANE, Liquide pour inhalation",Flacon de 100 ml,362
"SOLACY ADULTES 72,6 mg , Gélule",Boîte de 45,37.4
"COZAAR 100 mg, Comprimé pelliculé",Boîte de 28,250
"VARTEX 40 MG, Comprimé pelliculé",Boite de 14,45.1
"GYNO CANESTEN 500 MG, Comprimé Vaginal",Boîte de 1,44.9
EPHÉDRINE AGUETTANT 3% Soluté injectable,Boîte de 5 ampoules de 1ml,89
"CEFTRIAXONE MYLAN 2 G, Poudre Solution injectable (IV)",Boîte de 5 flacons,912
"GLIMEPIRIDE WIN 1 mg , Comprimé",Boîte de 30,40
"GABAMOX 400 MG, Gélule",Boîte de 30,210
"NOZINAN 4% , Solution buvable",Boîte de 1 Flacon de 30 ml,38.5
"FELDENE 20 MG, Gélule",Boîte de 15,59.8
"FLUCONAZOLE GT® 150 MG, Gélules",Boite de 2 gélules,34
"PARASPHAN Comprimé effervescent,",Boîte de 10,17.3
"AFONGIS 150 MG, Gélule",Boite de 7,99
"GEPRID 2 MG, Comprimé",Boîte de 60,103
"ARACTINE 4 MG, Comprimé",Boîte de 30,18.2
"PLAVIX 75 MG , Comprimé pelliculé",Boîte de 28,316
"OKA-DOCETAXEL 80 MG / 15 ML, Solution injectable",Flacon de 2 ml,2521
"TRIFLUCAN 2 MG / ml, Injectable",Flacon de 50 ml,144.1
"EXFORGE HCT 10 MG / 160 MG / 12,5 MG, Comprimé",Boite de 28,361
"PHENYLEPHRINE AGUETTANT 50 µG / ML, Solution injectable",Boite de 10 seringues pré-remplies de 10 ML,1460
"ALGO 500 MG, Comprimé sécable",Boîte de 20,10.2
"LOSARTAN GT 50 MG , Comprimé pelliculé",Boite de 30,86
"TOBRADEX 0,3%/1% , Pommade ophtalmique","Tube de 3,5g",54.4
"FOLIO 200 µG / 150µg, Comprimé",Boite de 120,137
"XELODA 500 MG, Comprimé pelliculé",Boîte de 120,3393
"SUPRADYN BOOST, Comprimé effervescent",Boite de 20,89
"DANTRON 2 MG / ML, Soluté injectable",Boîte de 5 ampoules de 2ml,323
"COVERSYL 10 MG, Comprimé pelliculé",Boîte de 30,248
"CO-ANDOL 500 MG / 30 MG, Comprimé effervescent",Boite 16,25
"MELICAM 15 mg, Comprimé",Boite de 20 comprimés dosé à 15 Mg,83.6
"CARDINOR 25 MG, Comprimé",Boîte de 10,33
"GEPRID 1 MG, Comprimé",Boîte de 30,35.1
"PENITARD 1,2 MUI (IM) , Poudre pour solution injectable",Flacon de poudre et 1 ampoule de solvant,10.7
"HUMOREX 20 MG / ML, Solution buvable en goutte",Flacon de 15 ML,76
"ROTARIX, Suspension buvable en applicateur pré-rempli","1 applicateur de 1,5ml",
"DIFAL 75 MG, Injectable",Boîte de 2 Ampoules 3ML,15.9
"TRITANRIX-HB, Préparation injectable",Boîte de 1 flacon monodose,122.8
"DAIVONEX 50 µG/G, Pommade",Tube de 30 g,124.6
"ATENSIL 40 MG, Comprimé enrobé",Boite de 14,44.8
"INSPRA 25 MG, Comprimé",Boite de 30,396
"ELLEACNELLE 2 MG / 0.035 MG, Comprimé",Boîte de 21,36.5
"ZIDOVIR 100 MG, Gélule",Boîte de 100,226
"VISARTAN 50 MG, Comprimé",Boite de 28,79
"ULTRA-LEVURE 250 MG, Gélule",Flacon de 10,37
VERASKIN 4%,Tube de 30 g,18.85
RYBAC 200 mg Poudre pour solution buvable,Flacon de 60 ml,26.5
"GLUCOSE HYPERTONIQUE 10%, Solution Injectable",Flacon de 500 ml Carton de 12,192.9
"NOVALAC 2EME AGE, Lait",Boite de 400G,65
"DIVIDO 75 MG, Gélule",Boite de 10 gélules,29.2
"KELO-COTE®, 15G",Tube de15g,240
"OMIZ 10 MG, Gélules",Boite de 7,12.4
FLUORO-URACILE ICN 250 mg / 5 ml Solution injectable,Boîte de 12 Flacon de 5 ml,257.6
"ZOEGAS 40MG, Gellule",Boite de 28 gellules,215
"VIBREX 100 MG, Comprimé",Boîte de 1,50
"SEPTIL , Poudre pour usage externe",Flacon 10 g,14
"STREPTOMYCINE GALENICA, Poudre pour solution injectable",Boîte de 1 Flacon de 1g,8.65
"IBS , Capsule",Boite de 15,163.75
"INSULET RAPIDE 100 UI/ml , Suspension injectable",Flacon de 10 ml,85
"ROSUCAL 20 MG, Comprimé pelliculé",Boite de 28,237
"MONOPROST 50 Microgrammes / ML, Solution ophtalmique",Boite de 6 sachets.,
"RAPIFEN 1 mg/2 ml, Solution injectable",Boîte de 5 Ampoules de 2 ml,63.7
"DOLOSTOP SOLUTION BUVABLE, 2,4 G / 100ML",Flacon de 60 ML,12.2
"GLUCOSE SOTHEMA 0,05, Solution pour perfusion",Flacon de 500ml,19.3
BIOSULIN R 100 UI Solution injectable,Flacon de 10 ml,130
"VITA C 1000 Comprimé effervescent,",Boîte de 20,27.7
"ARIXTRA 5 MG / 0,4 ML, Seringue pré-remplie",Boîte de 10,1468
"MEGAMAG 45 MG, Gélule",Boîte de 40,47.4
"SEPTEAL, Solution pour application locale",Flacon de 250 ml,30.5
"LEFLOX PHARMA 5 500MG, Comprimé pelliculé",Boite de 14,196.1
"D-BLASTIN 20 MG, Poudre pour perfusion",Boite unitaire,126
"BIGUAN 850 mg, Comprimé",Boîte de 60,37.7
"SPECTRUM 750 MG, Comprimé pelliculé",Boîte de 10,150
"SULIAT HCT 160 MG / 10 MG / 25 MG, Comprimé pelliculé",Boite de 14,105.2
"NASONEX 50 µg/dose, suspension pour pulvérisation nasale",Flacon de 120 doses,136.2
"RAMITEC 2.5 MG, Gélule",Boite de 30 gélules,26.5
"BENADRYL 0.28, Sirop",Flacon de 125 ml,11.4
"ATRICAN 250 MG, Capsule molle gastro-résistante",Boîte de 8,34.5
"PENICILLINE G SODIQUE PHARMA 1 MUI (IM - IV) , Poudre pour solution injectable",Flacon de poudre et 1 ampoule de solvant,7.6
"NEOCLAV 500 MG / 62.5 MG, Sachet",Boite de 14 sachets,72
"OMIZ 10 MG, Gélules",Boite de 28,45.1
"DAILY Gé 0,05 MG /0,03 MG et 0,075 MG/0,04 MG et 0,125 MG /0,03 MG, Comprimé enrobé","Boîte de 6 roses, 5 blancs, 10 jaunes",21.4
"SEVIKAR 20 MG / 5MG , Comprimé pelliculé",Boite de 30,210
"DOXORUBICINE COOPER 50 MG / 50 ML, Lyophilisat pour usage parentéral",Boîte de 1,429
"LIFONGID 250 MG, Comprimé",Boîte de 28,249
"SALBUTAMOL MYLAN 5 MG / 5 ML, Solution pour perfusion",Boite de 5 ampoules de 5ml,
"APIDRA 100 U / ML, Solution injectable",Boîte de 1 cartouche de 3 ml,98.4
"CHLORURE DE SODIUM 0,9% GÉNÉRATION SANTÉ, Soluté injectable",Poche souple Twist Off en PVC plastifié 100 ml,14
"ODIA 4 mg , Comprimé",Boîte de 60 comprimés,156.7
"DOXICAN 20 MG, Gélule",Boîte de 10,44
"CLAMOXYL 500 MG, Gélule",Boîte de 24,93.3
"METHOTREXATE BELLON 5 mg/2 ml , Solution injectable",Boîte de 1 Flacon,21.2
"LAMICTAL 100 MG, Comprimé",Boîte de 30,250
"OSOMOL 4 59,400 g + 17,600 g , Solution pour usage dentaire",Flacon compte-gouttes de 14 ml,
"MICROPAQUE COLON 0,9238 , Poudre pour suspension rectale",Boîte de 1 Pot de 400 g,42.6
BRONCHOKOD 5 % Sans sucre Solution Buvable Adulte,Flacon de 125 ml,22.9
"AFLOX 750 MG, Comprimé",Boite 10,76.6
"VISKEN 5 MG, Comprimé",Boîte de 50,56.1
"PNEUMOCCID 250 mg , Comprimé dispersible",Boîte de 24,48.95
"ACUCARB 450 MG, Solution pour perfusion",Flacon de 45 ml,906
"OSPAMOX 500 MG, Comprimé dispersible",Boîte de 12,34.6
"TAHOR 10 MG, Comprimé",Boîte de 28,79
"PREZAR 100 MG, Comprimé pelliculé",Boite de 28,149.2
"ARACYTINE 1G, Ampoule Injectable",Boîte de 1 Flacon en verre,436
"HELMINTOX 250 mg , Comprimé pelliculé sécable",Boîte de 3,18.9
"MITOXANTRONE EBEWE 20 MG, Solution à diluer pour perfusion",Flacon 10 ml,2099
"NOVEX 8000 UI antiXa/0,8ml , Solution injectable",Boîte de 2 seringues pré-remplies,170
"D-CURE 2400 UI/ML, Solution buvable en goutte",Flacon de 10 ML,55.1
"LANZEN 30 MG, GÉLULE",BOITE DE 28 GÉLULES,67.2
"GLURENOR 30 mg, Comprimé",Boîte de 20,25.7
"HUMER, Unidose nourrisson et enfant",Boite de 18 unidoses de 5ml,75
"SOLUPRED 5 MG, Comprimé effervescent",Boîte de 30,33.3
"JADENU 160 MG, Comprimés pelliculés",Boite de 30,3932
"VALPHI PLUS 80 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,95
"HYLO-GEL , Collyre",Flacon de 10 ML,180
"GRISEO 125 MG, Comprimé ,",Boîte de 30,23.2
GEPRID 2 mg Comprimé (Retiré du marché),Boîte de 90,
"ERAXIN 500 MG, Comprimé",Boite de 7,111
"EPREX 3000, Solution injectable",Boite 6 ampoules S/C de 0.3 ML,1792
"STILNOX CR 6,25 MG, Comprimé pelliclé à libération contrôlée",Boîte de 28,98
PHOSPHATE DE DEXAMETHASONE MERCK 4 mg/1ml Solution injectable,Boîte de 5 flacons,43
"LIPISTAT 20 MG, Comprimé enrobé",Boîte de 28,91
"Collyre BLEU, Collyre",Boîte de 1 Flacon de 10 ml,18.5
"MODINE 10 MG / 50 ML, Solution pour perfusion",Flacon de 50 ml,162.4
"ROSUSTAR 10 MG, Comprimé pelliculé",Boite de 28,157.7
"CEFTRIAXONE AGUETTANT 2 G, Poudre pour Solution injectable",Boîte 1 flacon,121.5
"STREPSILS SANS SUCRE, Pastille",Boite de 24,40.3
"VISCERALGINE 50 MG, Comprimé pelliculé",Boîte de 30,28.7
"NOCAND 50 MG, Gélule",Boite de 7 gélules,35
"ATACAND 4 MG, Comprimé sécable",Boîte de 30,119.5
"ESCODYNE NA , Comprime Effervescent",Boîte de 10,34.5
"ARIPIPHI 5 MG, Comprimé",Boite de 30,205
"GLUCOSE SOTHEMA 10%, Solution pour perfusion",Poche 500ml,20.1
"DIGEST 4.8 MG / ML, Granulé pour suspension buvable",Flacon de 250 ml,26.5
"ALBUNORM 20 %, Solution pour perfusion",Flacon de 50 ml,693
"NATEAD 100 µG/2 ml , Poudre pour solution injectable",1 Flacon de poudre et 1 ampoule de solvant,710
"ALFATIL 500 MG, Comprimé dispersible",Boîte de 12,167.5
"LIRAPYN 50 MG, Gélule",Flacon de 30,113.4
"ERYTHROCINE 500 MG, Poudre orale",Boîte de 12 Sachets,47.6
"STARVAL 80 MG, Comprimé pelliculé",Boite de 14,83.2
"PNEUMOCCID 500 MG, Comprimé dispersible",Boîte de 24,65.4
"DOCETAXEL SUN 20 MG / 0.5 ML, Concentré pour solution pour perfusion",Flacon de 5 ML,800
"COSTAL 40 MG, Comprimé pelliculé",Boite de 10,60.4
"ZELVA 100 MG, Solution à diluer pour perfusion IV",Boite d'un flacon de 50 ML,9735
"PANEKAL 20 MG, Comprimé pelliculé",Boite de 30,128.9
"AMIKACINE MYLAN 500 MG, Poudre solvant pour Solution injectable",Boîte de 1 flacon de 4 ml,70
"VOIZIN 5 MG, Suppositoire",Boite de 10,11.3
"FUNGIZONE 3 %, Lotion",Flacon 30 ml,18
"GENTAGAM 10 MG, Solution Injectable",Boite unitaire,6.1
"VICTOZA 6 MG/ML, Solution injectable",Stylo pré-rempli contenant 3 ml d'une solution injectable. chaque ml contenant 6 Mg de liraglutide,1325
CANDICID 50 mg gélule,Boîte de 7,130
"HEMI DAONIL 2,5 mg , Comprimé",Boîte de 30,28.4
RIACEN 1% Crème,Tube de 15 g,34.6
"ARTESUNATE - AMODIAQUINE WINTHROP 50 MG / 135 MG, Comprimé bicouche",Boîte de 75,
"BREXIN 20 MG, Comprimé sécable",Boîte de 20,84.8
"FRANCE LAIT 2EME AGE, Lait",Boite de 400G,66
"DIAMICRON 30 MG LM , Comprimé",Boîte de 60,89
"ADRONAT 70 MG, Comprimé",Boite de 4,176
"NEWEYES , Dosette ophtalmique",Boite de 15 dosettes ophtalmiques,129.9
"ROVAMYCINE 3 MUI, Comprimé pelliculé",Boîte de 10,94.4
"DAIVONEX 50 µG/G, Solution pour cuir chevelu",Flacon de 60 ml,251
TONICALCIUM enfants 5 ml,Boîte de 20 ampoules,23.9
"VOLMAX 4 MG, Comprimé",Boîte de 14,57.6
"ERLUS 5 MG, Comprimé pelliculé",Boite de 28 coprimés,74.6
"ARANESP 100 µg , Solution injectable",Boîte de 4 seringues,6404
"FRAXIPARINE 7600 UI AXA / 0,8 ML, Seringue pré-remplie",Boîte de 2,215
"ZOZMA 800 MG, Comprimé",Boite de 25,490
"CIPRO 1 G, Comprimé pelliculé",Boite de 7,217
"RAMIPRIL/HYDROCHLOROTHIAZIDE GT 5 MG / 25 MG, Comprimé",Boîte de 56,289
"GO-ON , Injectable",Boite d'une seringue pré-remplie,340
"ZONOS 4 MG, Injectable",Boite d'un flacon de 5 ML,1451
"OXYGENOR 20 MG, Comprimé",Boîte de 60,45
"MAXIDROL 100mg - 350000UI + , Collyre",Flacon de 5ml,30.1
"IXOR 20 MG, Comprimé effervescent",Boîte de 28,118.5
"SERETIDE DISKUS, Poudre pour inhalation en Récipient unidose 100mcg/50mcg par dose",Flacon de 60 doses,199
"GABLINE 25 MG, Gélules",Boite de 90,160
"SEROHALE 50 µg, Aérosol",Aérosol de 120 doses,123
"FLOXIMAT 200 MG, Comprimé enrobé",Boîte de 20,90.1
"HELICOCIN 750/500 , Comprimé enrobé",Boîte de 2*21,122.4
"PIZEDA 500 MG , Comprimé",Boîte de 50,84.1
"KETUM 2,5% Gel",Tube de 60g,52.8
"CANAFLUCAN 150 mg , Gélule",Boîte de 4,95.4
"LOCATOP 0,001 , Crème",Boîte de 1 Tube de 30 g,30
"AVODART 0.5 MG, Capsule molle",Boîte de 90,795
"SRILANE 5%, Crème",T/60g,27.2
"DOLIGRIPPE, Sachet",Boite de 8,20
"OLMETEC 40 MG, Comprimé pélliculé",Boite de 30 comprimés,256
"CEFOTRIM 500 MG, Poudre pour solution injectable",Flacon de 10 ml+ 1 Ampoule d'EPPI,57.9
"NICOPASS SANS SUCRE MENTHE FRAICHEUR 1,5 MG, Pastille",Boite de 12 pastille à sucer.,47.1
RANITIL 300 mg Comprimé,Boîte de 10,76.5
"NETROMICINE 150mg/1,5ml Solution injectable","Boîte de 1 ampoule de 1,5ml",58
"RISPERDALORO 2 MG, Comprimé orodispersible",Boîte de 28,231
"GAZYVA 1000 MG / 40 ML, Solution à diluer pour perfusion",Boite contenant 1 flacon de 40 ml,39772
"FUNGILYSE 100 mg Ovules,",Boîte de 6,26.4
"SPASFON 150 MG, Suppositoire",Boîte de 8,22.6
"NO-DOL FEN 400 MG, Comprimé",Boite de 30 comprimés pelliculés dosés à 400 mg d'ibuprofène,30
"XYLOROLLAND SANS VASOCONSTRICTEUR 36 mg , Solution pour usage dentaire","Boîte de 50 cartouches de 1,8 ml",
"THERMO-RHEUMON 1% Crème,",Tube de 40 g,46.5
"NOVOCLIN 250 MG / 31,25 MG, Sachet",Boîte de 12,45.9
"EPIGAB 300 MG, Gelule",Boite de 60,515
"ESMERON 50 MG / 5 ML IV, Solution Injectable",Boîte de 10,732
"ULTRA-LEVURE 250 MG, Gélule",Boite de 20,65.1
"PREGNYL 5000 UI/ml, Solution Injectable",Boîte de 1,199.9
"COAPROVEL 300 MG / 25 MG , Comprimé pelliculé",Boîte de 28,177
"TELMISARTAN MYLAN 80 MG, Comprimé",Boite de 30,129.9
"ATOPIX 10 MG, Comprimé pelliculé",Boite de 30,84.5
"MICROPAKINE LP 1000 MG, Granulés à libération prolongée",Boite de 30 sachets-dose,342
OKA-ETOPOSIDE 100mg/5ml Solution injectable,Boîte de 1 Flacon de 5 ml,126
"SOTRET 20 MG, Capsule molle",Boite de 30,249
"STARPEN 250 000 UI / 5 ML, Granules pour suspension buvable",Flacon de 120 ml,27.5
"BETADINE 10 %, Solution",Flacon de 125 ml,25
"VALPHI 40 MG, Comprimé pelliculé",Boite de 28,70
RYBAC 250 mg Comprimé,Boîte de 20,
"TRACET 37.5 MG / 325 MG, Comprimé pelliculé",Boite de 20,30
"MAXICLAV 1 G / 125 MG, Sachet",Boite de 24,153.1
"CELESTENE 2 MG, Comprimé",Boîte de 20,46
"LOSACAR 100/25 MG, Comprimé enrobé",Boîte de 14,79.4
"AVOSTAV 40 MG, Gélule",Boîte de 60,337
"DESENIL 5MG, Comprimé",Boite de 30,296
"CLAMOXYL 1 G, Comprimé dispersible",Boîte de 12,55
"ABILIFY 15 MG, Comprimé",Boîte de 28,1200
IMATEC 100 mg Gélule,Boîte de 120 gélules,3800
"ALFAFERONE 3 MUI / ML, Solution injectable",Flacon de 1 ml,104.7
"ALGOFENE 200 MG, Comprimé pelliculé",Boite de 100,71.4
"COSTARVAL 160 MG / 25 MG, Comprimé pelliculé",boite de 14,104.3
"SOPHTAL 100mg/5mg/ 100 ml , Collyre",Flacon de 10ml,18.5
"RISPERIDONE GT 3 MG, Comprimé",Boite de 60,423
"DIPROLENE 0,05% Crème",Tube de 15g,23.9
"VAXIGRIP, Préparation injectable","Boîte d'une seringue de 0,5 ml",72.8
